"統計名：","通信利用動向調査 世帯全体編"
"表番号："
"表題：","Ｆ：世帯年収 世帯年収 平成18年以降"
"実施年月：","-","-"

"***","数字が得られないもの"
"******","******"
"**********","**********"
"-","該当数がない場合"

"","","","","","","/世帯年収_2 コード","100","120","130","140","150","160","170","190","200","210"
"表章項目 コード","表章項目","時間軸(年次) コード","時間軸(年次)","世帯年収_1 コード","世帯年収_1","/世帯年収_2","合計","200～400万円未満","200万円未満","400～600万円未満","600～800万円未満","800～1000万円未満","1000～1500万円未満","1500～2000万円未満","2000万円以上","不明"
"00200","回答数","2007000000","2007年","170","1,000～1,500万円未満","","***","-","-","-","-","-","376","-","-","-"
"00200","回答数","2007000000","2007年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","88","-","-"
"00200","回答数","2007000000","2007年","200","2,000万円以上","","***","-","-","-","-","-","-","-","103","-"
"00200","回答数","2007000000","2007年","210","不明","","***","-","-","-","-","-","-","-","-","68"
"00200","回答数","2006000000","2006年","100","合計","","***","1,255","573","1,021","766","535","412","111","55","271"
"00200","回答数","2006000000","2006年","120","200万円未満","","***","-","573","-","-","-","-","-","-","-"
"00200","回答数","2006000000","2006年","130","200～400万円未満","","***","1,255","-","-","-","-","-","-","-","-"
"00200","回答数","2006000000","2006年","140","400～600万円未満","","***","-","-","1,021","-","-","-","-","-","-"
"00200","回答数","2006000000","2006年","150","600～800万円未満","","***","-","-","-","766","-","-","-","-","-"
"00200","回答数","2006000000","2006年","160","800～1,000万円未満","","***","-","-","-","-","535","-","-","-","-"
"00200","回答数","2006000000","2006年","170","1,000～1,500万円未満","","***","-","-","-","-","-","412","-","-","-"
"00200","回答数","2006000000","2006年","190","1,500～2,000万円未満","","***","-","-","-","-","-","-","111","-","-"
"00200","回答数","2006000000","2006年","200","2,000万円以上","","***","-","-","-","-","-","-","-","55","-"
"00300","集計世帯数【世帯】","2016000000","2016年","100","合計","","17,040","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2016000000","2016年","120","200万円未満","","2,577","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2016000000","2016年","130","200～400万円未満","","5,153","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2016000000","2016年","140","400～600万円未満","","3,442","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2016000000","2016年","150","600～800万円未満","","2,416","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2016000000","2016年","160","800～1,000万円未満","","1,451","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2016000000","2016年","170","1,000～1,500万円未満","","1,031","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2016000000","2016年","190","1,500～2,000万円未満","","211","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2016000000","2016年","200","2,000万円以上","","124","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2015000000","2015年","100","合計","","14,765","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2015000000","2015年","120","200万円未満","","2,168","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2015000000","2015年","130","200～400万円未満","","4,296","***","***","***","***","***","***","***","***","***"
"00300","集計世帯数【世帯】","2015000000","2015年","140","400～600万円未満","","3,027","***","***","***","***","***","***","***","***","***"
